No.,Time,Source,Destination,Protocol,Length,Info,Label
5510,72.07638586,10.244.0.19,10.244.0.9,TCP,83,"8000  >  36774 [PSH, ACK] Seq=415 Ack=1287 Win=64128 Len=17 TSval=376899324 TSecr=1107150458",0
5511,72.07641401,10.244.0.9,10.244.0.19,TCP,66,36774  >  8000 [ACK] Seq=1287 Ack=432 Win=64640 Len=0 TSval=1107150531 TSecr=376899324,0
5512,72.07834419,10.244.0.2,10.244.0.9,DNS,157,Standard query response 0x8a76 A smf2-nsmf.free5gc.svc.cluster.local A 10.98.169.160 OPT,0
5513,72.09348832,10.244.0.3,10.244.0.9,DNS,199,Standard query response 0x6248 AAAA smf2-nsmf.free5gc.svc.cluster.local SOA ns.dns.cluster.local OPT,0
5514,72.09594677,10.244.0.9,10.244.0.14,TCP,74,42844  >  8000 [SYN] Seq=0 Win=64860 Len=0 MSS=1410 SACK_PERM=1 TSval=3914308283 TSecr=0 WS=128,0
5515,72.09605797,10.244.0.14,10.244.0.9,TCP,74,"8000  >  42844 [SYN, ACK] Seq=0 Ack=1 Win=64308 Len=0 MSS=1410 SACK_PERM=1 TSval=3494344023 TSecr=3914308283 WS=128",0
5516,72.09608296,10.244.0.9,10.244.0.14,TCP,66,42844  >  8000 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=3914308283 TSecr=3494344023,0
5517,72.17258413,10.244.0.23,10.244.0.21,UDP,67,44015  >  4997 Len=25,0
5518,72.17274658,10.244.0.9,10.244.0.14,TCP,130,"42844  >  8000 [PSH, ACK] Seq=1 Ack=1 Win=64896 Len=64 TSval=3914308360 TSecr=3494344023",0
5519,72.17283267,10.244.0.14,10.244.0.9,TCP,66,8000  >  42844 [ACK] Seq=1 Ack=65 Win=64256 Len=0 TSval=3494344100 TSecr=3914308360,0
5520,72.17292967,10.244.0.9,10.244.0.14,TCP,262,"42844  >  8000 [PSH, ACK] Seq=65 Ack=1 Win=64896 Len=196 TSval=3914308360 TSecr=3494344100",0
5521,72.1729388,10.244.0.14,10.244.0.9,TCP,66,8000  >  42844 [ACK] Seq=1 Ack=261 Win=64128 Len=0 TSval=3494344100 TSecr=3914308360,0
5522,72.17296651,10.244.0.21,10.244.0.23,UDP,59,4997  >  44015 Len=17,0
5523,72.17328702,10.244.0.14,10.244.0.9,TCP,105,"8000  >  42844 [PSH, ACK] Seq=1 Ack=261 Win=64128 Len=39 TSval=3494344101 TSecr=3914308360",0
5524,72.17330921,10.244.0.9,10.244.0.14,TCP,66,42844  >  8000 [ACK] Seq=261 Ack=40 Win=64896 Len=0 TSval=3914308361 TSecr=3494344101,0
5525,72.17556036,10.244.0.9,10.244.0.14,TCP,705,"42844  >  8000 [PSH, ACK] Seq=261 Ack=40 Win=64896 Len=639 TSval=3914308363 TSecr=3494344101",0
5526,72.1755954,10.244.0.14,10.244.0.9,TCP,88,"8000  >  42844 [PSH, ACK] Seq=40 Ack=900 Win=64128 Len=22 TSval=3494344103 TSecr=3914308363",0
5527,72.17571978,10.244.0.9,10.244.0.14,TCP,75,"42844  >  8000 [PSH, ACK] Seq=900 Ack=62 Win=64896 Len=9 TSval=3914308363 TSecr=3494344103",0
5539,72.22295976,10.244.0.14,10.244.0.9,TCP,66,8000  >  42844 [ACK] Seq=62 Ack=909 Win=64128 Len=0 TSval=3494344150 TSecr=3914308363,0
5540,72.29144056,10.244.0.14,10.244.0.9,TCP,172,"8000  >  42844 [PSH, ACK] Seq=62 Ack=909 Win=64128 Len=106 TSval=3494344219 TSecr=3914308363",0
5541,72.29155643,10.244.0.14,10.244.0.9,TCP,243,"8000  >  42844 [PSH, ACK] Seq=168 Ack=909 Win=64128 Len=177 TSval=3494344219 TSecr=3914308363",0
5542,72.29544472,10.244.0.9,10.244.0.14,TCP,66,42844  >  8000 [ACK] Seq=909 Ack=345 Win=64640 Len=0 TSval=3914308483 TSecr=3494344219,0
